Samples	axisX	axisY	axisZ	DB	Tissue
GSM1100207	9.810578	3.4137828	5.1465497	GEO	Large Intestine
GSM1100208	5.530907	-2.2429903	-0.12650627	GEO	Large Intestine
GSM1139103	5.5344944	-2.2563102	-0.15179317	GEO	Blood
GSM1139104	5.9873614	-1.9684755	-0.45478302	GEO	Blood
GSM1139105	9.273064	3.8577785	4.845239	GEO	Blood
GSM1139106	6.3173556	3.208343	4.21089	GEO	Blood
GSM1196045	-3.0894394	4.203548	-0.10304373	GEO	Ovary
GSM1296623	-3.0854735	4.199424	-0.0992093	GEO	Skin
GSM1296625	-3.0816135	4.1939287	-0.09427277	GEO	Skin
GSM1296626	-3.0818381	4.1939816	-0.09387375	GEO	Skin
GSM1296627	-3.0818775	4.1941285	-0.09453429	GEO	Skin
GSM1296628	-3.085	4.1987	-0.09898249	GEO	Skin
GSM1296629	-0.0524699	3.2916296	2.8983977	GEO	Skin
GSM1335489	9.23828	3.5495574	4.950523	GEO	Spleen
GSM1354552	9.294546	3.6098814	4.960674	GEO	Breast
GSM1354553	9.311026	3.6173816	4.941024	GEO	Breast
GSM1354554	9.314954	3.620823	4.940921	GEO	Breast
GSM1354555	9.301555	3.6150498	4.937818	GEO	Breast
GSM1354556	9.288008	3.5922282	4.9203615	GEO	Breast
GSM1354557	9.299465	3.6247263	4.9348435	GEO	Breast
GSM1354558	9.319042	3.6191256	4.946233	GEO	Breast
GSM1354559	9.306298	3.615631	4.9426317	GEO	Breast
GSM1354560	9.310099	3.6144943	4.942933	GEO	Breast
GSM1354561	6.8753796	-5.694922	5.6529207	GEO	Breast
GSM1354562	6.8753257	-5.6959357	5.653892	GEO	Breast
GSM1354563	6.878535	-5.6963673	5.65476	GEO	Breast
GSM1354564	6.8788733	-5.6963787	5.6548505	GEO	Breast
GSM1354565	6.8761144	-5.6965613	5.6536083	GEO	Breast
GSM1354566	6.8767204	-5.6965604	5.65383	GEO	Breast
GSM1354567	6.875909	-5.6958857	5.6533875	GEO	Breast
GSM1354568	6.875474	-5.696477	5.6528735	GEO	Breast
GSM1354569	6.8778596	-5.696386	5.6543527	GEO	Breast
